Name,Trigger,AttackName,Impact,Puncture,Slash,Cold,Electricity,Heat,Toxin,Blast,Corrosive,Gas,Magnetic,Radiation,Viral,Void,BaseDamage,TotalDamage,CritChance,CritMultiplier,AvgShotDmg,BurstDps,SustainedDps,LifetimeDmg,StatusChance,ForcedProcs,AvgProcCount,AvgProcPerSec,Multishot,FireRate,Disposition,Mastery,Magazine,MaxAmmo,Reload,ShotType,PunchThrough,Accuracy,Introduced,IntroducedDate,Slot,Class,AmmoType,Range,InternalName,Family,FalloffStart,FalloffEnd,FalloffReduction
Kuva Bramma,Charge,Cluster Bomb Contact,49,0,0,0,0,0,0,0,0,0,0,0,0,0,49,235.2,0.35,2.1,325.752,542.92,325.752,1954.512,0.21,nil,0.63,0.63,3,1,0.6,15,1,5,0.6,Projectile,0,16.7,Update 27.1,2/4/2020,Primary,Bow,Sniper,0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,inf,1
Kuva Bramma,Charge,Cluster Bomb Explosion,0,0,0,0,0,0,0,57,0,0,0,0,0,0,57,273.6,0.35,2.1,378.936,631.56,378.936,2273.616,0.21,nil,0.63,0.63,3,1,0.6,15,1,5,0.6,AoE,0,16.7,Update 27.1,2/4/2020,Primary,Bow,Sniper,0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,3.5,0.5
Zarr,Semi-Auto,Cannon Mode Projectile,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.17,2.5,31.375,52.39625,23.261376248613,2729.625,0.29,nil,0.29,0.4843,1,1.67,1.15,7,3,84,2.25,Projectile,0,100,Update 19.0,11/11/2016,Primary,Launcher,Sniper,0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,inf,1
Zarr,Semi-Auto,Cannon Mode Explosion,0,0,0,0,0,0,0,175,0,0,0,0,0,0,175,175,0.17,2.5,219.625,366.77375,162.82963374029,19107.375,0.29,nil,0.29,0.4843,1,1.67,1.15,7,3,84,2.25,AoE,0,0,Update 19.0,11/11/2016,Primary,Launcher,Sniper,4,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,4,0.5
Zarr,Semi-Auto,Cannon Mode Cluster Bombs,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,300,0.17,2.5,376.5,628.755,279.13651498335,32755.5,0.048,nil,0.288,0.48096,6,1.67,1.15,7,3,84,2.25,Projectile,0,0,Update 19.0,11/11/2016,Primary,Launcher,Sniper,0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,inf,1
Zarr,Semi-Auto,Barrage Mode,24,40,16,0,0,0,0,0,0,0,0,0,0,0,80,800,0.17,2.5,1004,3012,926.76923076923,87348,0.087,nil,0.87,2.61,10,3,1.15,7,3,84,2.25,Projectile,1.6,1.4,Update 19.0,11/11/2016,Primary,Launcher,Sniper,10,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,inf,1
Battacor,Auto Burst,Normal Attack,0,24,0,0,0,0,0,0,0,0,42,0,0,0,66,66,0.32,2.4,191.136,341.17776,843.24705882353,149086.08,0.18,nil,0.18,0.6426,1,3.57,1.1,10,60,720,2,Projectile,0,25,Update 24.0,11/8/2018,Primary,Rifle,Rifle,0,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0,inf,1
Battacor,Auto Charge,Secondary Fire,0,0,0,0,0,0,0,0,0,0,0,208,0,0,208,208,0.34,3,349.44,873.6,806.4,272563.2,0.08,nil,0.08,0.133333333,1,5,1.1,10,60,720,2,Hit-Scan,2,100,Update 24.0,11/8/2018,Primary,Rifle,Rifle,300,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0,inf,1
Battacor,Auto Burst,Beam AoE,0,0,0,0,0,0,0,0,0,0,0,208,0,0,208,208,0.2,2,249.6,1248,1069.7142857143,194688,0.5,nil,0.5,2.5,1,5,1.1,10,60,720,2,AoE,0,0,Update 24.0,11/8/2018,Primary,Rifle,Rifle,3.4,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0,3.4,0.4
Boltor,Auto,Normal Attack,2.5,20,2.5,0,0,0,0,0,0,0,0,0,0,0,25,25,0.1,1.8,27,236.25,171.29909365559,16200,0.14,nil,0.14,1.225,1,8.75,1.3,2,60,540,2.6,Projectile,0,25,Update 6.0,1/29/2013,Primary,Rifle,Rifle,0,/Lotus/Weapons/Tenno/Rifle/BoltoRifle,Boltor,0,inf,1
Amprex,Held,Normal Attack,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,22,0.32,2.2,30.448,365.376,316.06920415225,48716.8,0.22,nil,0.22,2.64,1,12,0.85,10,100,700,2.6,Discharge,0,12.5,Update 13.1,4/23/2014,Primary,Rifle,Rifle,18,/Lotus/Weapons/Corpus/LongGuns/ChainLightningGun/ChainLightningRifle,Amprex,0,inf,1
Shedu,Auto,Normal Attack,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71,71,0.25,2.1,90.525,226.3125,156.46296296296,inf,0.23,nil,0.23,0.575,1,2.5,0.75,13,7,inf,1.25,Projectile,0,28.6,Update 27.0,12/13/2019,Primary,Arm Cannon,None,0,/Lotus/Weapons/Sentients/Shedu/SheduHeavyWeapon,Shedu,0,inf,1
Shedu,Auto,Radial Attack,0,0,0,0,87,0,0,0,0,0,0,0,0,0,87,87,0.25,2.1,110.925,277.3125,191.72222222222,inf,0.23,nil,0.23,0.575,1,2.5,0.75,13,7,inf,1.25,AoE,0,28.6,Update 27.0,12/13/2019,Primary,Arm Cannon,None,6.6,/Lotus/Weapons/Sentients/Shedu/SheduHeavyWeapon,Shedu,0,6.6,0.6
Tigris,Duplex,Normal Attack,21,21,168,0,0,0,0,0,0,0,0,0,0,0,210,1050,0.1,2,1155,2310,825,140910,0.168,nil,0.84,1.68,5,2,1.15,7,2,120,1.8,Hit-Scan,0,9.1,Update 11.0,11/20/2013,Primary,Shotgun,Shotgun,300,/Lotus/Weapons/Tenno/LongGuns/DoubleBarrelShotgun/TennoDoubleBarrelShotgun,Tigris,10,20,0.5238
Artemis Bow,Charge,Base Uncharged Shot,33.6,192,14.4,0,0,0,0,0,0,0,0,0,0,0,240,1680,0.25,2,2100,2333.333333,1105.2631578947,inf,0.2,nil,1.4,1.555555556,7,1,-nan,0,1,inf,0.9,Projectile,1,100,Update 23.0,6/15/2018,Primary,Exalted Weapon,Energy,0,/Lotus/Powersuits/Ranger/ExaltedBow,nil,0,inf,1
Artemis Bow,Charge,Base Charged Shot,33.6,192,14.4,0,0,0,0,0,0,0,0,0,0,0,240,1680,0.25,2,2100,2100,1105.2631578947,inf,0.2,nil,1.4,0.736842105,7,1,-nan,0,1,inf,0.9,Projectile,1,100,Update 23.0,6/15/2018,Primary,Exalted Weapon,Energy,0,/Lotus/Powersuits/Ranger/ExaltedBow,nil,0,inf,1
Artemis Bow,Charge,Concentrated Arrow Shot,33.6,192,14.4,0,0,0,0,0,0,0,0,0,0,0,240,240,0.25,2,300,333.3333333,157.89473684211,inf,0.2,nil,1.2,1.333333333,1,1,-nan,0,1,inf,0.9,Projectile,0,100,Update 23.0,6/15/2018,Primary,Exalted Weapon,Energy,0,/Lotus/Powersuits/Ranger/ExaltedBow,nil,0,inf,1
Artemis Bow,Charge,Concentrated Arrow Headshot Explosion,0,0,0,0,0,0,0,500,0,0,0,0,0,0,500,500,0.75,2,875,875,460.52631578947,inf,0,nil,0,0,1,1,-nan,0,1,inf,0.9,AoE,0,100,Update 23.0,6/15/2018,Primary,Exalted Weapon,Energy,7,/Lotus/Powersuits/Ranger/ExaltedBow,nil,0,7,0
Rubico,Semi-Auto,Unzoomed,144,27,9,0,0,0,0,0,0,0,0,0,0,0,180,180,0.3,3,288,768.96,337.02664796634,22176,0.12,nil,0.12,0.3204,1,2.67,0.95,6,5,72,2.4,Hit-Scan,1,13.3,Update 18.0,12/3/2015,Primary,Sniper Rifle,Sniper,1000,/Lotus/Weapons/Tenno/LongGuns/FiveShotSniper/FiveShotSniper,Rubico,400,600,0.5
Karak,Auto,Normal Attack,13.05,8.7,7.25,0,0,0,0,0,0,0,0,0,0,0,29,29,0.09,1.5,30.305,353.65935,198.9085208099,17273.85,0.15,nil,0.15,1.7505,1,11.67,1.35,1,30,540,2,Hit-Scan,0,28.6,Update 11.5,12/19/2013,Primary,Rifle,Rifle,300,/Lotus/Weapons/Grineer/LongGuns/GrineerM16Homage/GrineerM16Rifle,Karak,0,inf,1
Simulor,Active,Orb Launch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,2,0,0,0,0,0.3,nil,0.3,0.9,1,3,1.25,5,8,72,3,Projectile,0,28.6,Update 16.10,6/25/2015,Primary,Rifle,Rifle,12,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0,inf,1
Simulor,Active,Orb Merging Damage,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0.12,2,112,336,158.11764705882,8960,0.3,nil,0.3,0.9,1,3,1.25,5,8,72,3,nil,0,28.6,Update 16.10,6/25/2015,Primary,Rifle,Rifle,12,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0,inf,1
Simulor,Active,Orb Explosion,0,0,0,0,0,0,0,0,0,0,200,0,0,0,200,200,0.12,2,224,672,316.23529411765,17920,0.3,nil,1.3,3.9,1,3,1.25,5,8,72,3,AoE,0,28.6,Update 16.10,6/25/2015,Primary,Rifle,Rifle,5,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0,5,0.6
Basmu,Auto,Auto,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39,39,0.15,2,44.85,538.2,221.61176470588,inf,0.29,nil,0.29,3.48,1,12,1.2,11,21,inf,2.5,Projectile,0,20,Update 27.3,3/24/2020,Primary,Rifle,None,0,/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun,Basmu,0,inf,1
Basmu,Auto,Radial Attack,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,0.15,2,21.85,262.2,107.96470588235,inf,0.29,nil,0.29,3.48,1,12,1.2,11,21,inf,2.5,AoE,0,20,Update 27.3,3/24/2020,Primary,Rifle,None,1.7,/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun,Basmu,0,1.7,0.2
Basmu,Held,Held,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,24,0.02,4.8,25.824,309.888,127.60094117647,inf,0.3,nil,0.6,7.2,2,12,1.2,11,21,inf,2.5,Discharge,0,3,Update 27.3,3/24/2020,Primary,Rifle,None,0,/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun,Basmu,0,inf,1
Latron,Semi-Auto,Normal Attack,8.25,38.5,8.25,0,0,0,0,0,0,0,0,0,0,0,55,55,0.12,2,61.6,256.872,154.07389635317,34188,0.12,nil,0.12,0.5004,1,4.17,1.4,0,15,540,2.4,Hit-Scan,0,28.6,Vanilla,10/25/2012,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/Rifle/SemiAutoRifle,Latron,0,inf,1
Hek,Semi-Auto,Normal Attack,11.25,48.75,15,0,0,0,0,0,0,0,0,0,0,0,75,525,0.1,2,577.5,1253.175,601.04316546763,71610,0.107,nil,0.749,1.62533,7,2.17,1.2,4,4,120,2,Hit-Scan,0,9.1,Update 5.2,1/4/2013,Primary,Shotgun,Shotgun,300,/Lotus/Weapons/Tenno/Shotgun/QuadShotgun,Hek,10,20,0.8
Tenora Prime,Auto-Spool,Fully Spooled,8.4,11.2,8.4,0,0,0,0,0,0,0,0,0,0,0,28,28,0.3,2.2,38.08,482.4736,416.50898888529,45696,0.24,nil,0.24,3.0408,1,12.67,1,14,200,1000,2.5,Hit-Scan,0,12.5,Update 29.9,2/23/2021,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/PrimeTenora/TenoraPrimeWeapon,Tenora,0,inf,1
Tenora Prime,Charge,Charged Attack,56,168,56,0,0,0,0,0,0,0,0,0,0,0,280,280,0.4,3,504,630,544.86486486486,60480,0.2,nil,0.2,0.153846154,1,2,1,14,200,1000,2.5,Hit-Scan,1,12.5,Update 29.9,2/23/2021,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/PrimeTenora/TenoraPrimeWeapon,Tenora,0,inf,1
Kuva Kohm,Auto-Spool,Single Pellet,4,4,12,0,0,0,0,0,0,0,0,0,0,0,20,32,0.19,2.3,39.904,33.279936,33.016436402301,41699.68,0.9,nil,0.9,0.7506,1,0.834,0.85,13,209,836,2,Hit-Scan,1.5,8,Update 26.0,10/31/2019,Primary,Shotgun,Shotgun,300,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Kohm/KuvaKohm,Kohm,13,26,0.9375
Kuva Kohm,Auto-Spool,Fully Spooled,4,4,12,0,0,0,0,0,0,0,0,0,0,0,20,384,0.19,2.3,478.848,1996.79616,1720.8054411667,124500.48,0.075,nil,0.9,3.753,12,4.17,0.85,13,209,836,2,Hit-Scan,0,8,Update 26.0,10/31/2019,Primary,Shotgun,Shotgun,300,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Kohm/KuvaKohm,Kohm,13,26,0.9375
Quartakk,Burst,Burst-Fire,18.13,14.21,16.66,0,0,0,0,0,0,0,0,0,0,0,49,49,0.19,2.3,244.412,386.78199,338.3390833828,225836.688,0.27,nil,0.27,1.7091,1,6.33,1.25,10,84,840,1.9,Hit-Scan,0.5,90.9,Update 22.0,10/12/2017,Primary,Rifle,Rifle,300,/Lotus/Weapons/Grineer/LongGuns/GrnFourBarrelRifle/GrnFourBarrelRifleWeapon,Quartakk,0,inf,1
Flux Rifle,Held,Normal Attack,0,4.84,17.16,0,0,0,0,0,0,0,0,0,0,0,22,22,0.1,2,24.2,290.4,228.66141732283,inf,0.24,nil,0.24,2.88,1,12,1.55,6,50,inf,2.25,Discharge,0.5,100,Update 8.0,5/23/2013,Primary,Rifle,None,30,/Lotus/Weapons/ClanTech/Energy/CrpLaserRifle,Flux Rifle,0,inf,1
Paris Prime,Semi-Auto,Uncharged Shot,9,153,18,0,0,0,0,0,0,0,0,0,0,0,180,180,0.45,2,261,372.8571429,153.52941176471,19053,0.2,nil,0.2,0.285714286,1,1,1.35,8,1,72,0.7,Projectile,0,16.7,Update 9.0,7/13/2013,Primary,Bow,Sniper,0,/Lotus/Weapons/Tenno/Bows/PrimeHuntingBow,Paris,0,inf,1
Paris Prime,Charge,Charged Shot,9,288,63,0,0,0,0,0,0,0,0,0,0,0,360,360,0.45,2,522,745.7142857,435,38106,0.2,nil,0.2,0.166666667,1,1,1.35,8,1,72,0.7,Projectile,3,16.7,Update 9.0,7/13/2013,Primary,Bow,Sniper,0,/Lotus/Weapons/Tenno/Bows/PrimeHuntingBow,Paris,0,inf,1
Stradavar Prime,Auto / Semi,Full Auto Mode,10.5,10.5,9,0,0,0,0,0,0,0,0,0,0,0,30,30,0.24,2.6,41.52,415.2,339.70909090909,26157.6,0.12,nil,0.12,1.2,1,10,1,12,90,540,2,Hit-Scan,0,25,Hotfix 24.5.8,4/2/2019,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/PrimeStradavar/PrimeStradavarGun,Stradavar,0,inf,1
Stradavar Prime,Semi-Auto,Semi-Auto Mode,8,24,48,0,0,0,0,0,0,0,0,0,0,0,80,80,0.3,2.8,123.2,410.256,381.98882681564,77616,0.22,nil,0.22,0.7326,1,3.33,1,12,90,540,2,Hit-Scan,1,66.7,Hotfix 24.5.8,4/2/2019,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/PrimeStradavar/PrimeStradavarGun,Stradavar,0,inf,1
Tenora,Auto-Spool,Fully Spooled,7.2,9.6,7.2,0,0,0,0,0,0,0,0,0,0,0,24,24,0.28,2,30.72,358.5024,300.1275847635,32256,0.16,nil,0.16,1.8672,1,11.67,1.1,10,150,900,2.5,Hit-Scan,0,12.5,Update 20.0,3/24/2017,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/TnBardRifle/TnBardRifle,Tenora,0,inf,1
Tenora,Charge,Charged Attack,48,144,48,0,0,0,0,0,0,0,0,0,0,0,240,240,0.34,3,403.2,504,417.10344827586,42336,0.11,nil,0.11,0.122222222,1,10,1.1,10,150,900,2.5,Hit-Scan,1,12.5,Update 20.0,3/24/2017,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/TnBardRifle/TnBardRifle,Tenora,0,inf,1
Kuva Ogris,Semi-Auto,Rocket Impact,18.9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,27,43.2,0.09,2,47.088,70.632,34.454634146341,1553.904,0.47,nil,1.47,2.205,1,1.5,0.75,15,3,30,2.1,Projectile,0,100,Update 26.0,10/31/2019,Primary,Launcher,Sniper,0,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Ogris/KuvaOgris,Ogris,0,inf,1
Kuva Ogris,Semi-Auto,Rocket Explosion,0,183,155,0,0,0,0,349,0,0,0,0,0,0,687,1099.2,0.09,2,1198.128,1797.192,876.67902439024,39538.224,0.47,nil,0.47,0.705,1,1.5,0.75,15,3,30,2.1,AoE,0,100,Update 26.0,10/31/2019,Primary,Launcher,Sniper,7.9,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Ogris/KuvaOgris,Ogris,0,7.9,0.8
MK1-Paris,Semi-Auto,Uncharged Shot,5.75,86.25,23,0,0,0,0,0,0,0,0,0,0,0,115,115,0.3,2,149.5,271.8181818,96.451612903226,10913.5,0.15,nil,0.15,0.272727273,1,1,1.45,0,1,72,0.55,Projectile,0,16.7,Update 14.0,7/18/2014,Primary,Bow,Sniper,0,/Lotus/Weapons/MK1Series/MK1Paris,Paris,0,inf,1
MK1-Paris,Charge,Charged Shot,11.5,184,34.5,0,0,0,0,0,0,0,0,0,0,0,230,230,0.3,2,299,543.6363636,284.7619047619,21827,0.15,nil,0.15,0.142857143,1,1,1.45,0,1,72,0.55,Projectile,2,16.7,Update 14.0,7/18/2014,Primary,Bow,Sniper,0,/Lotus/Weapons/MK1Series/MK1Paris,Paris,0,inf,1
Corinth Prime,Semi-Auto,Buckshot,25.2,37.8,27,0,0,0,0,0,0,0,0,0,0,0,90,540,0.3,2.8,831.6,1180.872,973.51360263809,116424,0.09,nil,0.54,0.7668,6,1.42,0.95,14,20,120,3,Hit-Scan,0,9.1,Hotfix 27.3.6,3/31/2020,Primary,Shotgun,Shotgun,300,/Lotus/Weapons/Tenno/LongGuns/PrimeCorinth/PrimeCorinth,Corinth,18,36,0.6667
Corinth Prime,Semi-Auto,Air Burst Projectile,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0.04,1.6,102.4,68.3008,48.779317240394,3584,0.5,nil,1.5,1.0005,1,0.667,0.95,14,20,120,3,Projectile,0,9.1,Hotfix 27.3.6,3/31/2020,Primary,Shotgun,Shotgun,0,/Lotus/Weapons/Tenno/LongGuns/PrimeCorinth/PrimeCorinth,Corinth,0,inf,1
Corinth Prime,Semi-Auto,Air Burst Explosion,0,0,0,0,0,0,0,2200,0,0,0,0,0,0,2200,2200,0.04,1.6,2252.8,1502.6176,1073.1449792887,78848,0.5,nil,0.5,0.3335,1,0.667,0.95,14,20,120,3,AoE,0,9.1,Hotfix 27.3.6,3/31/2020,Primary,Shotgun,Shotgun,9.8,/Lotus/Weapons/Tenno/LongGuns/PrimeCorinth/PrimeCorinth,Corinth,0,9.8,0.9
Boltor Prime,Auto,Normal Attack,4.6,41.4,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0.12,2,51.52,515.2,368,30912,0.34,nil,0.34,3.4,1,10,1.2,13,60,540,2.4,Projectile,0,50,Update 12.4,3/5/2014,Primary,Rifle,Rifle,0,/Lotus/Weapons/Tenno/LongGuns/PrimeBoltor/PrimeBoltor,Boltor,0,inf,1
